page,y0,x0,text,font_size,bold,alignment,is_dateish
1,76.89,9.66,"UOB’s 3Q25 operating profit at S$1.9 billion, with continued franchise growth Steady progress in delivering our strategic priorities across business segments",10.56,True,left,False
1,78.62,10.78,"UOB’s3Q25operatingprofitatS$1.9billion,withcontinuedfranchisegrowth",14.0,True,left,False
1,155.85,297.82,S$1.9bS$199b,14.0,True,center,False
1,222.41,301.06,S$892m,14.0,True,center,False
1,223.32,413.21,S$479m,14.0,True,center,False
1,295.08,424.51,45.2%,14.0,True,center,False
1,296.28,302.98,S$351b,14.0,True,center,False
1,361.99,424.87,14.6%,14.0,True,center,False
1,362.61,304.03,1.6%,14.0,True,center,False
1,429.88,89.62,Strong balance sheet growth underpins resilient earnings,14.04,True,center,False
1,445.88,148.46,“,28.0,True,center,False
1,633.99,347.11,”,28.0,True,center,False
2,66.89,199.18,Financial performance,12.96,True,center,False
2,272.5,30.29,9M25 versus 9M24,8.52,True,left,False
2,486.88,30.5,3Q25 versus 2Q25,8.52,True,left,False
2,629.59,30.88,3Q25 versus 3Q24,8.52,True,left,False
3,78.96,232.82,Assetquality,12.0,True,center,False
3,396.77,167.71,"Capital,fundingandliquiditypositions",12.0,True,center,False
4,27.06,279.34,ThirdQuarter2025PerformanceHighlights,11.0,True,right,False
4,40.26,413.76,6November2025,11.0,True,right,True
