bank,raw_caption,loader_table_type,n_rows,n_docs,docs
DBS,Leverage Ratio Common Disclosure Template,leverage_ratio_common_disclosure_template,172,5,1Q25_P3_other_regulatory_disclosures; 3Q25_P3_other_regulatory_disclosures; DBS_1Q22_pillar3; DBS_1Q26_P3_other_regulatory_disclosures; DBS_3Q22_pillar3
DBS,OVERVIEW OF KEY PRUDENTIAL REGULATORY METRICS,overview_of_key_prudential_regulatory_metrics,162,5,1Q25_P3_other_regulatory_disclosures; 3Q25_P3_other_regulatory_disclosures; DBS_1Q22_pillar3; DBS_1Q26_P3_other_regulatory_disclosures; DBS_3Q22_pillar3
DBS,Overview of RWA,overview_of_rwa,99,3,1Q25_P3_other_regulatory_disclosures; 3Q25_P3_other_regulatory_disclosures; DBS_1Q26_P3_other_regulatory_disclosures
DBS,OVERVIEW OF RISK-WEIGHTED ASSETS,overview_of_risk_weighted_assets,62,2,DBS_1Q22_pillar3; DBS_3Q22_pillar3
UOB,Financial Highlights 1Q25,financial_highlights_1q25,55,1,UOB_1Q25_performance-highlights
DBS,Leverage Ratio Summary Comparison Table,leverage_ratio_summary_comparison_table,54,5,1Q25_P3_other_regulatory_disclosures; 3Q25_P3_other_regulatory_disclosures; DBS_1Q22_pillar3; DBS_1Q26_P3_other_regulatory_disclosures; DBS_3Q22_pillar3
OCBC,"Strong Funding, Liquidity and Capital Position",strong_funding_liquidity_and_capital_position,48,4,OCBC_1H25_Media_Release_Financial_Highlights; OCBC_1Q25_Results__Press_Release; OCBC_3Q25_Results_Press_Release; OCBC_4Q25_Media_Release_and_Financial_Highlights
UOB,Financial Highlights 3Q25,financial_highlights_3q25,44,1,UOB_3Q25_Performance_Highlights
DBS,"1.1 Average All-Currency LCR for the Quarter ended 30 Sep 2025
(Number of data points: 92)",average_all_currency_lcr_for_the_quarter_ended_30_sep_2025_number_of_data_points_92,31,1,3Q25_P3_other_regulatory_disclosures
DBS,Average All-Currency LCR for the Quarter ended 31 Mar 2026,average_all_currency_lcr_for_the_quarter_ended_31_mar_2026,31,1,DBS_1Q26_P3_other_regulatory_disclosures
DBS,"1.2 Average SGD LCR for the Quarter ended 31 Mar 2026
(Number of data points: 90)",average_sgd_lcr_for_the_quarter_ended_31_mar_2026_number_of_data_points_90,31,1,DBS_1Q26_P3_other_regulatory_disclosures
DBS,"1.1 Average All-Currency LCR for the Quarter ended 31 Mar 2025
(Number of data points: 90)",average_all_currency_lcr_for_the_quarter_ended_31_mar_2025_number_of_data_points_90,30,1,1Q25_P3_other_regulatory_disclosures
DBS,"1.1 Average All-Currency LCR for the Quarter ended 31 March 2022
(Number of data points: 90)",average_all_currency_lcr_for_the_quarter_ended_31_march_2022_number_of_data_points_90,30,1,DBS_1Q22_pillar3
DBS,"1.1 Average All-Currency LCR for the Quarter ended 30 Sep 2022
(Number of data points: 92)",average_all_currency_lcr_for_the_quarter_ended_30_sep_2022_number_of_data_points_92,30,1,DBS_3Q22_pillar3
OCBC,Nine Months 2025 Performance,nine_months_2025_performance,28,1,OCBC_3Q25_Results_Press_Release
UOB,Financial Highlights,financial_highlights,28,1,UOB_4Q25_condensed-financial-statements
DBS,"1.2 Average SGD LCR for the Quarter ended 31 Mar 2025
(Number of data points: 90)",average_sgd_lcr_for_the_quarter_ended_31_mar_2025_number_of_data_points_90,27,1,1Q25_P3_other_regulatory_disclosures
DBS,"1.2 Average SGD LCR for the Quarter ended 30 Sep 2025
(Number of data points: 92)",average_sgd_lcr_for_the_quarter_ended_30_sep_2025_number_of_data_points_92,27,1,3Q25_P3_other_regulatory_disclosures
DBS,"1.2 Average SGD LCR for the Quarter ended 31 March 2022
(Number of data points: 90)",average_sgd_lcr_for_the_quarter_ended_31_march_2022_number_of_data_points_90,27,1,DBS_1Q22_pillar3
DBS,Average SGD LCR for the Quarter ended 30 Sep 2022,average_sgd_lcr_for_the_quarter_ended_30_sep_2022,27,1,DBS_3Q22_pillar3
OCBC,Second Quarter 2025 Performance,second_quarter_2025_performance,26,1,OCBC_1H25_Media_Release_Financial_Highlights
