bank,doc_kind,doc_id,page,title
DBS,performance_summary,DBS_4Q25_performance_summary,1-2,Dividends
DBS,performance_summary,DBS_4Q25_performance_summary,14-17,Selected balance sheet and other items2
DBS,performance_summary,DBS_4Q25_performance_summary,23-25,By period overdue
DBS,performance_summary,DBS_4Q25_performance_summary,33,UNAUDITED CONSOLIDATED STATEMENT OF CHANGES IN EQUITY FOR THE SIX MONTHS ENDED 31 DECEMBER 2025 — The Group (1 July 2024 to 31 December 2024)
DBS,performance_summary,DBS_4Q25_performance_summary,33,UNAUDITED CONSOLIDATED STATEMENT OF CHANGES IN EQUITY FOR THE SIX MONTHS ENDED 31 DECEMBER 2025 — The Group (1 July 2025 to 31 December 2025)
DBS,performance_summary,DBS_4Q25_performance_summary,35,"UNAUDITED STATEMENT OF CHANGES IN EQUITY
FOR THE SIX MONTHS ENDED 31 DECEMBER 2024
The Company"
DBS,performance_summary,DBS_4Q25_performance_summary,35,"UNAUDITED STATEMENT OF CHANGES IN EQUITY
FOR THE SIX MONTHS ENDED 31 DECEMBER 2025
The Company"
DBS,performance_summary,DBS_4Q25_performance_summary,37,Fair Value Hierarchy
DBS,performance_summary,DBS_4Q25_performance_summary,42-44,INDEPENDENT AUDITOR’S REPORT TO THE MEMBERS OF DBS GROUP HOLDINGS LTD (continued) - Key audit matter
DBS,performance_summary,DBS_4Q25_performance_summary,42-44,Key audit matters
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,17-20,Business segments — At 31 December 2024
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,17-20,Business segments — At 31 December 2025
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,17-20,13.1 Business segments — Half year ended 31 December 2024
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,17-20,13.1 Business segments — Half year ended 31 December 2025
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,17-20,13.1 Business segments — Year ended 31 December 2024
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,17-20,13.1 Business segments — Year ended 31 December 2025
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,21,13.2 Geographical segments
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,21,Geographical segments — Total assets
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,23-28,14.3 Fair value hierarchy (continued)
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,23-28,Movements in Level 3 financial assets and liabilities - Financial assets measured at fair value 2024
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,23-28,Movements in Level 3 financial assets and liabilities - Financial assets measured at fair value 2025
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,23-28,Movements in Level 3 financial assets and liabilities - Financial liabilities measured at fair value 2025 & 2024
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,23-28,Movements in Level 3 non-financial assets
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,23-28,Valuation techniques and unobservable inputs for Level 3 instruments - GROUP 31 Dec 2024
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,23-28,Valuation techniques and unobservable inputs for Level 3 instruments - GROUP 31 Dec 2025
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,25,Valuation techniques and unobservable inputs for Level 3 instruments - 31 Dec 2024
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,25,Valuation techniques and unobservable inputs for Level 3 instruments - 31 Dec 2025
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,26,Movements in Level 3 financial assets and liabilities — Financial assets measured at fair value 2024
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,26,Movements in Level 3 financial assets and liabilities — Financial assets measured at fair value 2025
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,26,Movements in Level 3 financial assets and liabilities — Financial liabilities measured at fair value
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,27-28,Movements in Level 3 non-financial assets
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,31-35,"INDEPENDENT AUDITOR'S REPORT TO THE MEMBERS OF OVERSEA-CHINESE BANKING CORPORATION LIMITED (continued)
Key Audit Matter"
OCBC,condensed_financial_statements,OCBC_4Q25_Condensed_Financial_Statements,31-35,Key Audit Matters
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,10,FINANCIAL HIGHLIGHTS
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,10-22,CAPITAL ADEQUACY RATIOS 1/
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,10-22,FINANCIAL HIGHLIGHTS
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,10-22,FINANCIAL HIGHLIGHTS (continued)
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,10-22,Profit Before Income Tax by Business Segment
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,11,FINANCIAL HIGHLIGHTS (continued)
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,13,Average Balance Sheet
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,13,Average Balance Sheet
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,20,CAPITAL ADEQUACY RATIOS 1/
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,21,Profit Before Income Tax by Business Segment
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,4-6,Allowances
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,4-6,Credit costs (bps) 1/
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,5-6,Allowances (S$ million)
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,5-6,Credit costs (bps) 1/
OCBC,media_release_financial_highlights,OCBC_4Q25_Media_Release_and_Financial_Highlights,7,"Strong Funding, Liquidity and Capital Position"
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,10,Non-Interest Income
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,14-15,NPL by industry
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,14-15,Total allowance
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,30-31,Statements of Changes in Equity (Audited) for the financial year ended 31 December 2025 — The Bank
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,30-31,Statements of Changes in Equity (Audited) for the financial year ended 31 December 2025 — The Group
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,35-36,5 Classification of Financial Assets and Financial Liabilities (continued) — Dec 24
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,35-36,5 Classification of Financial Assets and Financial Liabilities — Dec 25
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,40-43,Key Audit Matters
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,5-6,Financial Highlights
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,5-6,Financial Highlights (cont'd)
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,8,Net interest margin 2025 / 2024
UOB,condensed_financial_statements,UOB_4Q25_condensed-financial-statements,8,Net interest margin 2H25 / 2H24 / 1H25
