bank,doc_kind,cadence,section_canonical,table_type_id,caption_canonical,col_axis,row_dim_axis,value_kind,page,expected,is_narrative,evidence,notes
DBS,performance_summary,every_quarter,Overview,FS_INCOME_SELECTED,Selected income statement items,period,—,flow,3,True,False,observed,half-year + quarter versions p3-6
DBS,performance_summary,every_quarter,Overview,FS_BALANCE_SELECTED,Selected balance sheet items,period,—,stock,3,True,False,observed,as_at
DBS,performance_summary,every_quarter,Overview,FS_RATIOS_KEY,Key financial ratios,period,—,ratio,4,True,False,observed,
DBS,performance_summary,every_quarter,Overview,FS_PER_SHARE,Per share data,period,earnings-basis,ratio,6,True,False,observed,basis rows: Earnings vs Reported earnings; page-6 caption-in-label bug
DBS,performance_summary,half_year,Financial Review,FS_NII_DETAIL,Net interest income,period,—,flow,8,True,False,observed,NII reconciliation
DBS,performance_summary,half_year,Financial Review,FS_AVG_BALANCE_SHEET,Average balance sheet,period+measure,asset/liab line,mixed,8,True,False,observed,THREE col roles: avg balance/interest/rate
DBS,performance_summary,half_year,Financial Review,FS_VOLUME_RATE,Volume and rate analysis,period+measure,asset/liab line,delta,9,True,False,observed,
DBS,performance_summary,half_year,Financial Review,FS_FEE_DETAIL,Net fee and commission income,period,fee type,flow,10,True,False,observed,
DBS,performance_summary,half_year,Financial Review,FS_OTHER_NONII_DETAIL,Other non-interest income,period,income type,flow,10,True,False,observed,
DBS,performance_summary,half_year,Financial Review,FS_EXPENSES_DETAIL,Expenses,period,expense type,flow,11,True,False,observed,
DBS,performance_summary,half_year,Financial Review,FS_ALLOWANCES_DETAIL,Allowances for credit and other losses,period+geo,SP geography,flow,11,True,False,observed,
DBS,performance_summary,half_year,Financial Review,FS_PERF_BY_SEGMENT,Performance by Business Segments,segment,P&L+BS line,mixed,12,True,False,observed,axis=business_unit: Consumer/Institutional/Others/Markets
DBS,performance_summary,half_year,Financial Review,FS_PERF_BY_GEOGRAPHY,Performance by Geography,geo,P&L+BS line,mixed,16,True,False,observed,axis=geography
DBS,performance_summary,half_year,Financial Review,FS_CUSTOMER_LOANS,Customer Loans,period,breakdown axis,stock,20,True,False,observed,by unit/geo/industry/currency
DBS,performance_summary,half_year,Financial Review,FS_NPA_COVERAGE,Non-Performing Assets and Loss Allowance Coverage,period+measure,breakdown axis,stock,21,True,False,observed,
DBS,performance_summary,half_year,Financial Review,FS_CUSTOMER_DEPOSITS,Customer Deposits,period,currency+product,stock,24,True,False,observed,
DBS,performance_summary,half_year,Financial Review,FS_DEBTS_ISSUED,Debts Issued,period,instrument,stock,25,True,False,observed,
DBS,performance_summary,half_year,Financial Review,FS_CAPITAL_ADEQUACY,Capital Adequacy,period,capital/RWA line,mixed,26,True,False,observed,
DBS,performance_summary,half_year,Financial Statements,FS_INCOME_STATUTORY,Audited Consolidated Income Statement,period,—,flow,27,True,False,observed,statutory
DBS,performance_summary,half_year,Financial Statements,FS_COMPREHENSIVE_INCOME,Audited Consolidated Statement of Comprehensive Income,period,—,flow,28,True,False,observed,
DBS,performance_summary,half_year,Financial Statements,FS_BALANCE_STATUTORY,Audited Balance Sheets,period+entity,—,stock,29,True,False,observed,Group AND Company cols = legal_entity axis
DBS,performance_summary,half_year,Financial Statements,FS_EQUITY_CHANGES_GROUP,Audited Consolidated Statement of Changes in Equity,period,equity component,flow,30,True,False,observed,
DBS,performance_summary,half_year,Financial Statements,FS_EQUITY_CHANGES_COMPANY,Audited Statement of Changes in Equity,period,equity component,flow,32,True,False,observed,
DBS,performance_summary,half_year,Financial Statements,FS_CASHFLOW,Audited Consolidated Cash Flow Statement,period,cf line,delta,34,True,False,observed,value_kind=delta; must NOT map to bs.* stock
DBS,performance_summary,half_year,Financial Statements,FS_FAIR_VALUE_HIERARCHY,Fair Value Measurement,period+measure,level,stock,35,False,False,observed,
DBS,performance_summary,half_year,Financial Statements,FS_OFF_BALANCE_SHEET,Off-balance Sheet Items,period,item,stock,35,True,False,observed,
DBS,performance_summary,half_year,Additional Information,FS_SHARE_CAPITAL,Share Capital,period,—,stock,36,True,False,observed,
DBS,performance_summary,any,Overview,UNCLASSIFIED,Overview accounting-policy prose,—,—,—,2,False,True,observed,narrative
DBS,performance_summary,any,Financial Review,UNCLASSIFIED,Half / Quarter / Full Year commentary,—,—,—,7,False,True,observed,narrative
DBS,performance_summary,any,Additional Information,UNCLASSIFIED,Interested Party Transactions / undertakings,—,—,—,36,False,True,observed,narrative
DBS,performance_summary,any,Attachment,UNCLASSIFIED,Independent Auditor Report,—,—,—,99,False,True,observed,"has own ""Overview"" subhead - the collision source"
UOB,condensed_financial_statements,every_quarter,Financial Highlights,FS_INCOME_SELECTED,Selected income statement items,period,—,flow,2,True,False,observed,
UOB,condensed_financial_statements,every_quarter,Financial Highlights,FS_BALANCE_SELECTED,Selected balance sheet items,period,—,stock,2,True,False,observed,as_at
UOB,condensed_financial_statements,every_quarter,Financial Highlights,FS_RATIOS_KEY,Key financial ratios,period,—,ratio,2,True,False,observed,"incl ROE on ORDINARY equity, LCR all-ccy+SGD, NSFR, leverage, EPS, NAV, credit costs"
UOB,condensed_financial_statements,half_year,Net Interest Income,FS_AVG_BALANCE_SHEET,Net interest margin (average balance sheet),period+measure,asset/liab line,mixed,5,True,False,observed,THREE col roles avg balance/interest/rate
UOB,condensed_financial_statements,half_year,Net Interest Income,FS_VOLUME_RATE,Volume and rate analysis,period+measure,asset/liab line,delta,6,True,False,observed,
UOB,condensed_financial_statements,half_year,Non-Interest Income,FS_FEE_DETAIL,Non-Interest Income (fee + other),period,fee/income type,flow,7,True,False,observed,net fee AND other non-II in one exhibit
UOB,condensed_financial_statements,half_year,Operating Expenses,FS_EXPENSES_DETAIL,Operating Expenses,period,expense type,flow,8,True,False,observed,
UOB,condensed_financial_statements,half_year,Allowance for Credit and Other Losses,FS_ALLOWANCES_DETAIL,Allowance for Credit and Other Losses,period+geo,SP geography,flow,9,True,False,observed,"GP/SP split, SP by geography"
UOB,condensed_financial_statements,half_year,Customer Loans,FS_CUSTOMER_LOANS,Customer Loans,period,breakdown axis,stock,10,True,False,observed,gross->net reconcile; by industry/currency/maturity/geo
UOB,condensed_financial_statements,half_year,Non-Performing Assets,FS_NPA_COVERAGE,Non-Performing Assets,period+measure,breakdown axis,stock,11,True,False,observed,by grading/security/ageing; NPL by industry+geography
UOB,condensed_financial_statements,half_year,Customer Deposits,FS_CUSTOMER_DEPOSITS,Customer Deposits,period,currency+product,stock,13,True,False,observed,incl loan/deposit ratios
UOB,condensed_financial_statements,half_year,Performance by Business Segment,FS_PERF_BY_SEGMENT,Performance by Business Segment,segment,P&L+BS line,mixed,14,True,False,observed,axis=business_unit: GR/GWB/GM/Others
UOB,condensed_financial_statements,half_year,Performance by Geographical Segment,FS_PERF_BY_GEOGRAPHY,Performance by Geographical Segment,geo,P&L+BS line,mixed,19,True,False,observed,axis=geography: SG/MY/TH/ID/GC/Others
UOB,condensed_financial_statements,half_year,Capital Adequacy and Leverage Ratios,FS_CAPITAL_ADEQUACY,Capital Adequacy and Leverage Ratios,period,capital/RWA line,mixed,23,True,False,observed,
