section_id,section_title,first_page,last_page,n_pages,n_tables,confidence,note
1,Attestation Statement,5,5,1,0,high,"signature block only, no table"
2,Introduction,6,6,1,0,high,prose only
3,Accounting and Regulatory Consolidation,6,6,1,0,high,prose only; shares p6 with Section 2
4,Key Metrics,7,7,1,1,high,"KM1 template, single matrix across 5 quarters"
5,Macroprudential Supervisory Measures,8,10,3,3,high,"5.1 x2 (Dec-25, Dec-24) + 5.2 x1"
5.1,Disclosure of G-SIB Indicators,8,9,2,2,high,one table per reporting date
5.2,Geographical Distribution of Credit Exposures Used in the Countercyclical Capital Buffer,10,10,1,1,high,
6,Composition of Capital,11,19,9,7,review,6.1 x2 + 6.2 x1 (spans pp13-15) + 6.3 x4 instrument panels
6.1,Reconciliation of Regulatory Capital to Balance Sheet,11,12,2,2,high,equity/liabilities block + assets block
6.2,Composition of Regulatory Capital,13,15,3,1,high,single CC1 template spanning 3pp
6.3,Main Features of Regulatory Capital Instruments,16,19,4,4,review,2 instruments per page; counted 1 panel per page
7,Linkages between Financial Statements and Regulatory Exposures,20,23,4,4,high,7.1 x2 + 7.2 x1 + 7.3 x1
7.1,Differences between Accounting and Regulatory Scopes of Consolidation and Mapping of Financial Statement Categories with Regulatory Risk Categories,20,21,2,2,high,assets block + liabilities block
7.2,Main Sources of Differences between Regulatory Exposure Amounts and Carrying Amounts in Financial Statements,22,22,1,1,high,
7.3,Prudent Valuation Adjustments,23,23,1,1,high,
8,Leverage Ratio,24,26,3,2,high,8.1 x1 + 8.2 x1 (spans pp25-26)
8.1,Leverage Ratio Summary Comparison Table,24,24,1,1,high,
8.2,Leverage Ratio Common Disclosure Table,25,26,2,1,high,single LR2 template spanning 2pp
9,Credit Quality,27,40,14,26,review,9.1 x1 + 9.2 x1 + 9.3 x12 + 9.4 x12 + 9.5 x0
9.1,Credit Quality of Assets,27,27,1,1,high,
9.2,Changes in Stock of Defaulted Loans to Customers and Debt Securities,28,28,1,1,high,
9.3,Additional Disclosures related to Credit Quality of Assets,29,33,5,12,review,geography/industry/maturity blocks; two-period columns counted as one table
9.4,Overview of Past Due Exposure and Impairment Allowances,34,39,6,12,review,NPL + impairment allowance blocks; stacked sub-tables under shared headers
9.5,Restructured Exposures,40,40,1,0,high,"prose only, no table"
10,Asset Encumbrance,41,41,1,2,high,31 Dec 25 + 30 Jun 25 blocks
11,Key Approaches used for Computation of RWA,42,42,1,1,high,qualitative risk-type/approach table
12,Overview of RWA,43,43,1,1,high,OV1 template
13,Comparison of Modelled and Standardised RWA,44,45,2,2,high,13.1 x1 + 13.2 x1
13.1,Comparison of Modelled and Standardised RWA at Risk Level,44,44,1,1,high,
13.2,Comparison of Modelled and Standardised RWA for Credit Risk at Asset Class Level,45,45,1,1,high,
14,IRBA - RWA Flow Statement for Credit Risk Exposures,46,46,1,1,high,
15,Credit Exposures Under Standardised and IRB Approaches,47,61,15,24,review,15.1 x2 + 15.2 x5 + 15.3 x8 + 15.4 x6 + 15.5 x2 + 15.6 x0; risk-weight strips stacked under shared headers
15.1,SA(CR) - Credit Risk Exposures and CRM Effects,47,48,2,2,high,31 Dec 25 + 30 Jun 25
15.2,SA(CR) - Exposures by Asset Classes and Risk Weights,49,52,4,5,review,asset-class risk-weight strips share one header -> undercount
15.3,F-IRBA - Credit Exposures by Portfolio and PD Range,53,56,4,8,review,4 portfolios x 2 dates; stacked per page
15.4,A-IRBA - Credit Exposures by Portfolio and PD Range,57,60,4,6,review,3 portfolios x 2 dates; stacked per page
15.5,Overview of CRM Techniques,61,61,1,2,high,31 Dec 25 + 30 Jun 25
15.6,IRBA - Effect on RWA of Credit Derivatives used as CRM,61,61,1,0,high,"prose only, no table; shares p61 with 15.5"
16,IRBA - Backtesting of PD per portfolio,62,69,8,16,review,16.1 x8 + 16.2 x8; portfolio blocks stacked under shared headers
16.1,F-IRBA - Backtesting of PD per portfolio,62,65,4,8,review,4 portfolios x 2 dates
16.2,A-IRBA - Backtesting of PD per portfolio,66,69,4,8,review,4 portfolios x 2 dates
17,IRBA - Specialised Lending under the Slotting Approach,70,70,1,2,high,31 Dec 25 + 30 Jun 25
